name;title;purchase_date
Brooke Manning;Song of the Deep;1991-06-30
Anastasia Caldwell;Conan;1982-04-05
Abra Hampton;Sebastien Loeb Rally Evo;1925-10-02
Kermit Knapp;White Night;1939-01-17
Isabella Schwartz;Need for Speed: Nitro;1926-01-02
Kimberley Cannon;Deadliest Catch: Sea of Chaos;1958-01-07
Forrest Ford;RiftStar Raiders;2008-03-31
Branden Haney;Jungle Rumble: Freedom, Happiness and Bananas;1987-07-31
Lee Bishop;Downward Spiral: Horus Station;2009-04-10
Joel Justice;R-Type Dimensions;1927-07-16
Lev Kelley;Tim Burton's The Nightmare Before Christmas: Oogie's Revenge;2009-02-12
Vance Mendez;Etrian Odyssey III: The Drowned City;1953-07-30
Cade Whitehead;Final Fantasy XIV Online: A Realm Reborn;1908-07-01
Melissa Lopez;Primordia;1967-07-22
Maite Chan;Slay the Spire;1973-01-05
Kevin Crosby;Call of Duty: Ghosts - Devastation;2010-06-25
Dylan Hutchinson;R: Racing Evolution;1984-03-06
Tallulah Patrick;Darksiders II;2018-03-12
Jessamine Ruiz;Dungeons 2;2001-06-30
Brenden Maddox;X-Men Origins: Wolverine;1996-05-04
Addison Valdez;Fallout 3;1917-06-11
Vanna Morgan;Headhunter;1996-07-04
Nelle Meadows;Aqua Kitty UDX;1926-09-07
Leilani Stein;Switchball;1919-12-06
Mariam Harrison;Beetle Adventure Racing;1915-07-27
Keane Valdez;NBA 2K2;2021-02-22
Maite Chan;Dark Souls II: Scholar of the First Sin;1985-11-09
Dorian Gaines;NHL 09;1907-01-28
Raphael Meyers;Shantae and the Pirate's Curse;1945-03-03
Harriet Bush;Dungeon Twister;1978-03-27
Griffin Whitney;Saints Row: The Third Remastered;1959-12-28
Yvonne Wells;Pokemon Pearl Version;1990-01-07
Hector Stark;My Time At Portia;1903-09-11
Gavin Downs;Shiftlings;1921-02-21
Jessica Hudson;Rabbids Invasion;1964-11-24
Callum Barron;Persona 5: Dancing in Starlight;1939-06-08
Hanna Foster;Pokemon Art Academy;1931-02-12
Tatyana Johnson;Fate/Extra;1935-10-13
Chadwick Watkins;Blues and Bullets - Episode 1: The End of Peace;1904-08-27
Hanna Mcintyre;Rollcage Stage II;2006-10-01
Emily Price;Still There;1974-08-07
Boris Hurst;RoadKill;1973-01-12
Joy French;Natural Doctrine;1992-11-30
Orson Weaver;Fallout: New Vegas - Old World Blues;1947-01-22
Mariam Harrison;Mages of Mystralia;1914-04-25
Pearl Bishop;The Age of Decadence;1952-12-10
Jescie Kirkland;Tom Clancy's HAWX 2;1992-03-23
Avram Callahan;Strider;2013-12-15
Clayton Roberts;Resident Evil 3: Nemesis;1985-12-14
Xavier Hartman;The Disney Afternoon Collection;1938-01-29
Cleo Kidd;Madden NFL 15;1979-10-08
Ulysses Ramos;This is the Police;2005-10-03
Simon Holland;Need for Speed Carbon;1948-04-04
Dexter Downs;Panzer Tactics HD;1955-07-16
Jeanette Hodge;Namco Museum Essentials;1965-07-14
Anjolie Harmon;Gone Home;1922-07-31
Jared Ochoa;Cloudpunk;1956-06-02
Rebecca Simon;Top Gun;1976-12-24
Barclay Terrell;The Pinball Arcade;1974-03-03
Branden Collins;FRU;1901-10-12
Jessamine O'brien;Tom Clancy's Rainbow Six: Vegas;2011-10-14
Evelyn Love;Deadliest Warrior: The Game;2016-03-25
Anjolie Harmon;De-formers;1963-06-18
Brennan Black;I of the Dragon;1955-11-28
Daphne Powers;LEGO DC Super-Villains;1955-08-23
Chaney Dillon;LEGO Star Wars III: The Clone Wars;1940-12-15
Hedda Cooke;Call of Duty: Black Ops II;1944-08-11
Axel Wood;Crouching Tiger, Hidden Dragon;1966-07-21
Tyrone Sharp;MechAssault 2: Lone Wolf;1970-06-17
Daphne Meyer;Star Wars Battlefront;1995-06-13
Lee Dunlap;WWE SmackDown vs. Raw 2007;1983-11-16
Rama Stuart;xXx;1993-02-20
